time,open,high,low,close,volume
2023-01-20 04:00:00+00:00,1931.67,1932.46,1929.26,1929.64,4525
2023-01-20 05:00:00+00:00,1929.62,1930.32,1927.47,1927.54,2568
2023-01-20 06:00:00+00:00,1927.54,1927.75,1923.65,1923.65,2989
2023-01-20 07:00:00+00:00,1923.65,1927.98,1923.05,1927.88,3902
2023-01-20 08:00:00+00:00,1927.89,1929.22,1926.15,1926.48,3889
2023-01-20 09:00:00+00:00,1926.48,1933.05,1926.34,1933.01,6769
2023-01-20 10:00:00+00:00,1932.99,1937.47,1928.18,1928.52,8022
2023-01-20 11:00:00+00:00,1928.52,1932.49,1926.46,1929.34,7138
2023-01-20 12:00:00+00:00,1929.34,1930.84,1927.56,1929.97,6432
2023-01-20 13:00:00+00:00,1929.97,1931.3,1926.79,1927.01,5650
2023-01-20 14:00:00+00:00,1927.01,1929.16,1926.66,1928.65,6751
2023-01-20 15:00:00+00:00,1928.65,1929.47,1923.9,1924.09,9410
2023-01-20 16:00:00+00:00,1924.11,1926.37,1920.64,1925.05,11879
2023-01-20 17:00:00+00:00,1925.05,1930.89,1923.71,1926.31,11259
2023-01-20 18:00:00+00:00,1926.31,1928.94,1924.3,1924.83,7769
2023-01-20 19:00:00+00:00,1924.83,1926.49,1922.73,1925.13,5292
2023-01-20 20:00:00+00:00,1925.13,1929.52,1924.72,1929.38,6527
2023-01-20 21:00:00+00:00,1929.35,1930.94,1928.22,1929.58,4289
2023-01-20 22:00:00+00:00,1929.58,1929.86,1926.99,1927.1,3717
2023-01-20 23:00:00+00:00,1927.1,1927.48,1926.1,1926.41,1415
2023-01-23 01:00:00+00:00,1925.33,1927.68,1923.67,1927.2,2679
2023-01-23 02:00:00+00:00,1927.2,1932.45,1927.2,1932.25,3680
2023-01-23 03:00:00+00:00,1932.25,1933.73,1930.35,1932.42,3740
2023-01-23 04:00:00+00:00,1932.42,1935.48,1931.7,1931.78,2851
2023-01-23 05:00:00+00:00,1931.8,1933.07,1930.54,1930.54,2023
2023-01-23 06:00:00+00:00,1930.54,1931.22,1928.64,1929.51,2742
2023-01-23 07:00:00+00:00,1929.45,1929.8,1926.06,1926.18,2761
2023-01-23 08:00:00+00:00,1926.18,1926.46,1921.04,1922.63,4132
2023-01-23 09:00:00+00:00,1922.63,1923.14,1919.68,1920.29,6138
2023-01-23 10:00:00+00:00,1920.29,1927.36,1918.85,1923.84,7959
2023-01-23 11:00:00+00:00,1923.84,1925.94,1922.0,1925.91,4510
2023-01-23 12:00:00+00:00,1925.91,1929.37,1925.84,1926.41,5571
2023-01-23 13:00:00+00:00,1926.41,1926.61,1924.08,1925.52,4914
2023-01-23 14:00:00+00:00,1925.52,1927.79,1923.08,1926.61,6789
2023-01-23 15:00:00+00:00,1926.61,1927.74,1918.75,1921.9,12606
2023-01-23 16:00:00+00:00,1921.9,1923.99,1913.24,1916.59,20095
2023-01-23 17:00:00+00:00,1916.59,1924.34,1911.34,1922.94,18882
2023-01-23 18:00:00+00:00,1922.94,1926.34,1921.14,1922.17,11436
2023-01-23 19:00:00+00:00,1922.17,1924.14,1919.15,1923.88,9685
2023-01-23 20:00:00+00:00,1923.88,1929.64,1923.75,1927.73,9481
2023-01-23 21:00:00+00:00,1927.73,1929.03,1924.8,1926.35,5248
2023-01-23 22:00:00+00:00,1926.35,1931.75,1925.95,1931.16,6573
2023-01-23 23:00:00+00:00,1931.16,1931.62,1930.48,1931.24,1972
2023-01-24 01:00:00+00:00,1931.08,1932.69,1930.65,1931.27,2422
2023-01-24 02:00:00+00:00,1931.27,1932.62,1930.76,1930.83,4489
2023-01-24 03:00:00+00:00,1930.83,1935.83,1930.82,1935.81,5147
2023-01-24 04:00:00+00:00,1935.81,1936.99,1934.0,1934.61,3437
2023-01-24 05:00:00+00:00,1934.61,1935.85,1933.4,1933.42,3408
2023-01-24 06:00:00+00:00,1933.41,1933.6,1931.77,1932.63,4157
2023-01-24 07:00:00+00:00,1932.63,1935.42,1932.47,1934.03,3316
2023-01-24 08:00:00+00:00,1934.03,1939.98,1933.85,1939.68,5807
2023-01-24 09:00:00+00:00,1939.68,1941.43,1937.61,1940.36,7900
2023-01-24 10:00:00+00:00,1940.36,1942.48,1937.58,1938.13,8877
2023-01-24 11:00:00+00:00,1938.13,1938.91,1934.54,1936.05,8474
2023-01-24 12:00:00+00:00,1936.05,1938.45,1934.27,1938.39,6918
2023-01-24 13:00:00+00:00,1938.39,1938.46,1934.93,1937.21,6845
2023-01-24 14:00:00+00:00,1937.21,1939.36,1936.16,1936.67,5530
2023-01-24 15:00:00+00:00,1936.67,1937.43,1930.32,1932.39,13699
2023-01-24 16:00:00+00:00,1932.39,1932.47,1921.16,1921.31,22955
2023-01-24 17:00:00+00:00,1921.28,1936.62,1917.07,1934.99,25114
2023-01-24 18:00:00+00:00,1934.99,1936.07,1930.12,1932.43,14059
2023-01-24 19:00:00+00:00,1932.43,1934.83,1932.05,1933.86,11170
2023-01-24 20:00:00+00:00,1933.82,1935.67,1933.03,1934.9,9900
2023-01-24 21:00:00+00:00,1934.91,1938.22,1934.1,1938.06,6544
2023-01-24 22:00:00+00:00,1938.06,1938.2,1936.82,1937.82,5153
2023-01-24 23:00:00+00:00,1937.82,1937.82,1936.83,1937.23,3232
2023-01-25 01:00:00+00:00,1937.09,1937.62,1936.26,1936.92,2310
2023-01-25 02:00:00+00:00,1936.92,1938.46,1934.91,1936.8,4412
2023-01-25 03:00:00+00:00,1936.8,1938.91,1936.47,1937.33,3901
2023-01-25 04:00:00+00:00,1937.33,1939.6,1935.0,1935.2,3699
2023-01-25 05:00:00+00:00,1935.2,1935.23,1928.89,1931.71,5534
2023-01-25 06:00:00+00:00,1931.71,1933.14,1927.61,1928.44,3991
2023-01-25 07:00:00+00:00,1928.44,1928.92,1925.73,1927.49,5348
2023-01-25 08:00:00+00:00,1927.49,1933.6,1926.24,1933.43,4703
2023-01-25 09:00:00+00:00,1933.43,1933.76,1927.38,1928.65,7099
2023-01-25 10:00:00+00:00,1928.65,1932.31,1927.97,1929.17,7939
2023-01-25 11:00:00+00:00,1929.17,1931.38,1927.74,1927.92,7538
2023-01-25 12:00:00+00:00,1927.92,1928.46,1922.69,1925.54,8872
2023-01-25 13:00:00+00:00,1925.54,1927.04,1923.04,1925.91,8571
2023-01-25 14:00:00+00:00,1925.91,1927.24,1922.7,1926.43,8424
2023-01-25 15:00:00+00:00,1926.43,1927.61,1919.82,1922.26,13078
2023-01-25 16:00:00+00:00,1922.26,1932.88,1921.7,1930.67,17027
2023-01-25 17:00:00+00:00,1930.73,1938.67,1928.86,1932.97,20122
2023-01-25 18:00:00+00:00,1932.96,1937.74,1928.82,1936.78,15674
2023-01-25 19:00:00+00:00,1936.78,1940.4,1936.15,1937.29,10191
2023-01-25 20:00:00+00:00,1937.29,1942.16,1937.29,1939.96,9637
2023-01-25 21:00:00+00:00,1939.96,1943.25,1939.63,1942.34,5840
2023-01-25 22:00:00+00:00,1942.34,1948.05,1942.27,1946.63,9135
2023-01-25 23:00:00+00:00,1946.61,1946.89,1945.11,1946.13,3647
2023-01-26 01:00:00+00:00,1946.27,1948.75,1945.68,1948.31,3159
2023-01-26 02:00:00+00:00,1948.31,1949.07,1945.08,1945.24,4800
2023-01-26 03:00:00+00:00,1945.24,1945.63,1942.47,1945.52,6019
2023-01-26 04:00:00+00:00,1945.55,1946.64,1943.55,1945.15,3714
2023-01-26 05:00:00+00:00,1945.15,1948.01,1944.96,1947.67,3504
2023-01-26 06:00:00+00:00,1947.66,1948.83,1946.06,1946.59,3328
2023-01-26 07:00:00+00:00,1946.59,1948.17,1945.15,1947.5,3949
2023-01-26 08:00:00+00:00,1947.5,1949.07,1944.68,1945.73,4966
2023-01-26 09:00:00+00:00,1945.73,1945.73,1937.98,1942.86,9378
2023-01-26 10:00:00+00:00,1942.73,1945.06,1939.85,1941.95,8420
2023-01-26 11:00:00+00:00,1941.95,1943.34,1933.79,1936.79,10591
2023-01-26 12:00:00+00:00,1936.79,1937.57,1935.57,1936.68,5744
2023-01-26 13:00:00+00:00,1936.68,1937.64,1933.06,1937.07,5822
2023-01-26 14:00:00+00:00,1937.07,1937.49,1934.54,1936.76,7571
2023-01-26 15:00:00+00:00,1936.76,1939.55,1930.63,1937.58,17046
2023-01-26 16:00:00+00:00,1937.6,1942.34,1929.46,1932.86,21060
2023-01-26 17:00:00+00:00,1932.86,1934.99,1923.12,1924.8,21751
2023-01-26 18:00:00+00:00,1924.77,1928.41,1918.54,1925.94,16569
